0x5A5A , 7753 <\r><\n>
0x5A5A , 7743 <\r><\n>
0x5A5A , 7785 <\r><\n>
0x5A5A , 7743 <\r><\n>
0x5A5A , 7757 <\r><\n>
0x5A5A , 7757 <\r><\n>
0x5A5A , 7767 <\r><\n>
0x5A5A , 7757 <\r><\n>
0x5A5A , 7771 <\r><\n>
0x5A5A , 7757 <\r><\n>
0x5A5A , 7762 <\r><\n>
0x5A5A , 7776 <\r><\n>
0x5A5A , 7771 <\r><\n>
0x5A5A , 7739 <\r><\n>
0x5A5A , 7734 <\r><\n>
0x5A5A , 7762 <\r><\n>
0x5A5A , 7706 <\r><\n>
0x5A5A , 7771 <\r><\n>
0x5A5A , 7706 <\r><\n>
0x5A5A , 7734 <\r><\n>
0x5A5A , 0 <\r><\n>
0x5A5A , 0 <\r><\n>
0x5A5A , 0 <\r><\n>
0x5A5A , 0 <\r><\n>
0x5A5A , 0 <\r><\n>
0x5A5A , 0 <\r><\n>
0x5A5A , 0 <\r><\n>
0x5A5A , 0 <\r><\n>
0x5A5A , 0 <\r><\n>
0x5A5A , 0 <\r><\n>
0x5A5A , 0 <\r><\n>
0x5A5A , 0 <\r><\n>
0x5A5A , 0 <\r><\n>
0x5A5A , 0 <\r><\n>
0x5A5A , 0 <\r><\n>
0x5A5A , 0 <\r><\n>
0x5A5A , 0 <\r><\n>
0x5A5A , 0 <\r><\n>
0x5A5A , 0 <\r><\n>
0x5A5A , 0 <\r><\n>
0x5A5A , 7678 <\r><\n>
0x5A5A , 7734 <\r><\n>
0x5A5A , 7743 <\r><\n>
0x5A5A , 7696 <\r><\n>
0x5A5A , 7729 <\r><\n>
0x5A5A , 7673 <\r><\n>
0x5A5A , 7725 <\r><\n>
0x5A5A , 7706 <\r><\n>
0x5A5A , 7743 <\r><\n>
0x5A5A , 7739 <\r><\n>
0x5A5A , 7729 <\r><\n>
0x5A5A , 7739 <\r><\n>
0x5A5A , 7734 <\r><\n>
0x5A5A , 7739 <\r><\n>
0x5A5A , 7729 <\r><\n>
0x5A5A , 7729 <\r><\n>
0x5A5A , 7687 <\r><\n>
0x5A5A , 7734 <\r><\n>
0x5A5A , 7734 <\r><\n>
0x5A5A , 7725 <\r><\n>
0x5A5A , 7720 <\r><\n>
0x5A5A , 7743 <\r><\n>
0x5A5A , 7715 <\r><\n>
0x5A5A , 7720 <\r><\n>
0x5A5A , 7757 <\r><\n>
0x5A5A , 7753 <\r><\n>
0x5A5A , 7734 <\r><\n>
0x5A5A , 7725 <\r><\n>
0x5A5A , 7767 <\r><\n>
0x5A5A , 7734 <\r><\n>
0x5A5A , 7710 <\r><\n>
0x5A5A , 7767 <\r><\n>
0x5A5A , 7710 <\r><\n>
0x5A5A , 7715 <\r><\n>
0x5A5A , 7692 <\r><\n>
0x5A5A , 7762 <\r><\n>
0x5A5A , 7753 <\r><\n>
0x5A5A , 7748 <\r><\n>
0x5A5A , 7734 <\r><\n>
0x5A5A , 7767 <\r><\n>
0x5A5A , 7682 <\r><\n>
0x5A5A , 7715 <\r><\n>
0x5A5A , 7762 <\r><\n>
0x5A5A , 7743 <\r><\n>
0x5A5A , 7729 <\r><\n>
0x5A5A , 7734 <\r><\n>
0x5A5A , 7734 <\r><\n>
0x5A5A , 7734 <\r><\n>
0x5A5A , 7710 <\r><\n>
0x5A5A , 7771 <\r><\n>
0x5A5A , 7757 <\r><\n>
0x5A5A , 7757 <\r><\n>
0x5A5A , 7767 <\r><\n>
0x5A5A , 7720 <\r><\n>
0x5A5A , 7710 <\r><\n>
0x5A5A , 7771 <\r><\n>
0x5A5A , 7753 <\r><\n>
0x5A5A , 7734 <\r><\n>
0x5A5A , 7729 <\r><\n>
0x5A5A , 7739 <\r><\n>
0x5A5A , 7715 <\r><\n>
0x5A5A , 7701 <\r><\n>
0x5A5A , 7701 <\r><\n>
0x5A5A , 7748 <\r><\n>
0x5A5A , 7753 <\r><\n>
0x5A5A , 7743 <\r><\n>
0x5A5A , 7687 <\r><\n>
0x5A5A , 7753 <\r><\n>
0x5A5A , 7739 <\r><\n>
0x5A5A , 7715 <\r><\n>
0x5A5A , 7785 <\r><\n>
0x5A5A , 7767 <\r><\n>
0x5A5A , 7743 <\r><\n>
0x5A5A , 7762 <\r><\n>
0x5A5A , 7781 <\r><\n>
0x5A5A , 7734 <\r><\n>
0x5A5A , 7767 <\r><\n>
0x5A5A , 7743 <\r><\n>
0x5A5A , 7734 <\r><\n>
0x5A5A , 7753 <\r><\n>
0x5A5A , 7701 <\r><\n>
0x5A5A , 7743 <\r><\n>
0x5A5A , 7692 <\r><\n>
0x5A5A , 7757 <\r><\n>
0x5A5A , 7729 <\r><\n>
0x5A5A , 7720 <\r><\n>
0x5A5A , 7725 <\r><\n>
0x5A5A , 7696 <\r><\n>
0x5A5A , 7767 <\r><\n>
0x5A5A , 7682 <\r><\n>
0x5A5A , 7753 <\r><\n>
0x5A5A , 7767 <\r><\n>
0x5A5A , 7748 <\r><\n>
0x5A5A , 7720 <\r><\n>
0x5A5A , 7757 <\r><\n>
0x5A5A , 7771 <\r><\n>
0x5A5A , 7725 <\r><\n>
0x5A5A , 7757 <\r><\n>
0x5A5A , 7776 <\r><\n>
0x5A5A , 7743 <\r><\n>
0x5A5A , 7645 <\r><\n>
0x5A5A , 7710 <\r><\n>
0x5A5A , 7682 <\r><\n>
0x5A5A , 7725 <\r><\n>
0x5A5A , 7757 <\r><\n>
0x5A5A , 7753 <\r><\n>
0x5A5A , 7767 <\r><\n>
0x5A5A , 7701 <\r><\n>
0x5A5A , 7739 <\r><\n>
0x5A5A , 7757 <\r><\n>
0x5A5A , 7767 <\r><\n>
0x5A5A , 7767 <\r><\n>
0x5A5A , 7715 <\r><\n>
0x5A5A , 7706 <\r><\n>
0x5A5A , 7715 <\r><\n>
0x5A5A , 7710 <\r><\n>
0x5A5A , 7720 <\r><\n>
0x5A5A , 7715 <\r><\n>
0x5A5A , 7757 <\r><\n>
0x5A5A , 7767 <\r><\n>
0x5A5A , 7701 <\r><\n>
0x5A5A , 7687 <\r><\n>
0x5A5A , 7706 <\r><\n>
0x5A5A , 7725 <\r><\n>
0x5A5A , 7687 <\r><\n>
0x5A5A , 7678 <\r><\n>
0x5A5A , 7701 <\r><\n>
0x5A5A , 7687 <\r><\n>
0x5A5A , 7725 <\r><\n>
0x5A5A , 7687 <\r><\n>
0x5A5A , 7762 <\r><\n>
0x5A5A , 7800 <\r><\n>
0x5A5A , 7748 <\r><\n>
0x5A5A , 7696 <\r><\n>
0x5A5A , 7776 <\r><\n>
0x5A5A , 7757 <\r><\n>
0x5A5A , 7757 <\r><\n>
0x5A5A , 7734 <\r><\n>
0x5A5A , 7739 <\r><\n>
0x5A5A , 7696 <\r><\n>
0x5A5A , 7734 <\r><\n>
0x5A5A , 7706 <\r><\n>
0x5A5A , 7729 <\r><\n>
0x5A5A , 7776 <\r><\n>
0x5A5A , 7729 <\r><\n>
0x5A5A , 7692 <\r><\n>
0x5A5A , 7715 <\r><\n>
0x5A5A , 7795 <\r><\n>
0x5A5A , 7748 <\r><\n>
0x5A5A , 7725 <\r><\n>
0x5A5A , 7725 <\r><\n>
0x5A5A , 7762 <\r><\n>
0x5A5A , 7692 <\r><\n>
0x5A5A , 7729 <\r><\n>
0x5A5A , 7673 <\r><\n>
0x5A5A , 7706 <\r><\n>
0x5A5A , 7739 <\r><\n>
0x5A5A , 7776 <\r><\n>
0x5A5A , 7748 <\r><\n>
0x5A5A , 7725 <\r><\n>
0x5A5A , 7710 <\r><\n>
0x5A5A , 7762 <\r><\n>
0x5A5A , 7739 <\r><\n>
0x5A5A , 7748 <\r><\n>
0x5A5A , 7762 <\r><\n>
0x5A5A , 7720 <\r><\n>
0x5A5A , 7767 <\r><\n>
0x5A5A , 7762 <\r><\n>
0x5A5A , 7762 <\r><\n>
0x5A5A , 7739 <\r><\n>
0x5A5A , 7785 <\r><\n>
0x5A5A , 7748 <\r><\n>
0x5A5A , 7701 <\r><\n>
0x5A5A , 7781 <\r><\n>
0x5A5A , 7771 <\r><\n>
0x5A5A , 7720 <\r><\n>
0x5A5A , 7767 <\r><\n>
0x5A5A , 7720 <\r><\n>
0x5A5A , 7725 <\r><\n>
0x5A5A , 7739 <\r><\n>
0x5A5A , 7692 <\r><\n>
0x5A5A , 7706 <\r><\n>
0x5A5A , 7739 <\r><\n>
0x5A5A , 7739 <\r><\n>
0x5A5A , 7710 <\r><\n>
0x5A5A , 7739 <\r><\n>
0x5A5A , 7734 <\r><\n>
0x5A5A , 7725 <\r><\n>
0x5A5A , 7715 <\r><\n>
0x5A5A , 7743 <\r><\n>
0x5A5A , 7687 <\r><\n>
0x5A5A , 7767 <\r><\n>
0x5A5A , 7776 <\r><\n>
0x5A5A , 7725 <\r><\n>
0x5A5A , 7743 <\r><\n>
0x5A5A , 7734 <\r><\n>
0x5A5A , 7692 <\r><\n>
0x5A5A , 7720 <\r><\n>
