timeref	est_sendtime	pos_x	pos_y	vel_x	vel_y	sigma	valid	senderGuid
-1.000000000	0.000000000	0.000	0.000	0.000	0.000	0.000000	0	0
3533.360616046	0.000000000	0.889	-1.513	0.638	-0.086	1.817428	1	4294967295
3533.660578770	0.000000000	1.533	-1.574	0.997	-0.067	0.965375	1	4294967295
3533.960519959	0.000000000	1.954	-1.595	1.117	-0.031	0.538468	1	4294967295
3534.260537911	0.000000000	2.188	-1.603	1.018	-0.003	0.441146	1	4294967295
3534.560507360	0.000000000	2.291	-1.587	0.838	0.030	0.504920	1	4294967295
3534.860471960	0.000000000	2.349	-1.579	0.683	0.042	0.546885	1	4294967295
3535.160377550	0.000000000	2.380	-1.584	0.557	0.041	0.558658	1	4294967295
3535.460366655	0.000000000	2.436	-1.562	0.485	0.052	0.472839	1	4294967295
3535.760391389	0.000000000	2.400	-1.579	0.380	0.042	0.611171	1	4294967295
3536.060382642	0.000000000	2.366	-1.592	0.302	0.035	0.586924	1	4294967295
3536.360388145	0.000000000	2.358	-1.596	0.253	0.034	0.527536	1	4294967295
3536.660391137	0.000000000	2.459	-1.728	0.266	-0.027	2.786381	1	4294967295
3536.960382783	0.000000000	2.516	-1.816	0.257	-0.058	2.762453	1	4294967295
3537.260398253	0.000000000	2.560	-1.877	0.245	-0.073	2.763572	1	4294967295
3537.560372081	0.000000000	2.506	-1.822	0.196	-0.043	0.979962	1	4294967295
3537.860330159	0.000000000	2.529	-1.897	0.183	-0.062	2.767853	1	4294967295
3538.160369485	0.000000000	2.467	-1.857	0.141	-0.039	1.008067	1	4294967295
3538.460266503	0.000000000	2.512	-1.910	0.142	-0.052	2.779012	1	4294967295
3538.760280602	0.000000000	2.594	-1.954	0.155	-0.061	2.659447	1	4294967295
3539.060284346	0.000000000	2.683	-2.026	0.168	-0.078	2.547929	1	4294967295
3539.360351506	0.000000000	2.779	-2.118	0.182	-0.097	2.448391	1	4294967295
3539.660318575	0.000000000	2.877	-2.207	0.194	-0.114	2.441271	1	4294967295
3539.960266375	0.000000000	2.927	-2.251	0.192	-0.117	2.555415	1	4294967295
3540.260188677	0.000000000	3.017	-2.326	0.200	-0.127	2.347249	1	4294967295
3540.560158904	0.000000000	2.999	-2.329	0.178	-0.116	2.712316	1	4294967295
3540.860132549	0.000000000	2.971	-2.370	0.157	-0.117	2.616326	1	4294967295
3541.160091549	0.000000000	2.996	-2.410	0.151	-0.118	2.478563	1	4294967295
3541.460077771	0.000000000	3.012	-2.443	0.143	-0.117	2.488787	1	4294967295
3541.760070471	0.000000000	3.022	-2.469	0.134	-0.114	2.463481	1	4294967295
3542.059996366	0.000000000	2.953	-2.415	0.106	-0.091	1.501068	1	4294967295
3542.359958645	0.000000000	2.938	-2.307	0.092	-0.055	1.367779	1	4294967295
3542.659910457	0.000000000	2.866	-2.222	0.066	-0.028	1.360402	1	4294967295
3542.959920980	0.000000000	2.738	-2.126	0.028	-0.000	1.366076	1	4294967295
3543.259900158	0.000000000	2.657	-2.080	0.005	0.012	0.982651	1	4294967295
3543.560039374	0.000000000	2.699	-2.092	0.015	0.008	2.576661	1	4294967295
3543.859992396	0.000000000	2.699	-2.111	0.013	0.003	2.623880	1	4294967295
3544.159899256	0.000000000	2.664	-2.120	0.002	0.001	2.679548	1	4294967295
3544.459864769	0.000000000	2.667	-2.139	0.002	-0.003	2.616388	1	4294967295
3544.759791609	0.000000000	2.667	-2.159	0.001	-0.008	2.627700	1	4294967295
3545.071348665	0.000000000	2.709	-2.191	0.009	-0.014	2.529239	1	4294967295
3545.371422240	0.000000000	2.752	-2.224	0.018	-0.021	2.519145	1	4294967295
3545.673137953	0.000000000	2.759	-2.261	0.016	-0.028	2.573133	1	4294967295
3545.973405284	0.000000000	2.773	-2.300	0.016	-0.035	2.554739	1	4294967295
3546.273333219	0.000000000	2.787	-2.343	0.016	-0.042	2.540087	1	4294967295
3546.559010073	0.000000000	2.800	-2.385	0.017	-0.049	2.520364	1	4294967295
3546.858842558	0.000000000	2.837	-2.432	0.023	-0.057	2.459812	1	4294967295
