timeref	est_sendtime	pos_x	pos_y	vel_x	vel_y	sigma	valid	senderGuid
7576.184484164	0.000000000	3.720	-2.529	0.001	-0.001	6.418633	1	4294967295
7576.484476556	0.000000000	3.720	-2.529	0.001	-0.001	6.460931	1	4294967295
7576.784434804	0.000000000	3.719	-2.528	-0.002	0.001	6.427807	1	4294967295
7577.084466191	0.000000000	3.715	-2.525	-0.009	0.006	6.388435	1	4294967295
7577.384403778	0.000000000	3.701	-2.517	-0.024	0.015	6.505090	1	4294967295
7577.684376066	0.000000000	3.671	-2.500	-0.048	0.028	6.271759	1	4294967295
7577.984346628	0.000000000	3.620	-2.471	-0.081	0.046	5.933443	1	4294967295
7578.283857972	0.000000000	3.541	-2.428	-0.123	0.068	5.654687	1	4294967295
7578.583920840	0.000000000	3.432	-2.370	-0.171	0.094	5.286800	1	4294967295
7578.883983435	0.000000000	3.304	-2.297	-0.217	0.120	4.364027	1	4294967295
7579.184123752	0.000000000	3.151	-2.240	-0.264	0.132	4.072811	1	4294967295
7579.484244875	0.000000000	2.957	-2.160	-0.320	0.152	4.087595	1	4294967295
7579.784251175	0.000000000	2.752	-2.081	-0.369	0.167	3.704288	1	4294967295
7580.084297651	0.000000000	2.520	-1.975	-0.420	0.191	2.795075	1	4294967295
7580.384317914	0.000000000	2.280	-1.896	-0.466	0.200	2.180755	1	4294967295
7580.684354433	0.000000000	2.069	-1.789	-0.493	0.218	1.851179	1	4294967295
7580.984336915	0.000000000	1.886	-1.700	-0.506	0.227	1.478617	1	4294967295
7581.284261148	0.000000000	1.714	-1.667	-0.514	0.216	0.996716	1	4294967295
7581.584183959	0.000000000	1.583	-1.583	-0.508	0.222	1.321651	1	4294967295
7581.884100726	0.000000000	1.476	-1.533	-0.495	0.217	1.252989	1	4294967295
7582.184044192	0.000000000	1.369	-1.509	-0.483	0.205	1.137644	1	4294967295
7582.484032776	0.000000000	1.324	-1.460	-0.456	0.202	1.378591	1	4294967295
7582.783962229	0.000000000	1.302	-1.420	-0.425	0.196	1.407848	1	4294967295
7583.083920831	0.000000000	1.249	-1.404	-0.406	0.184	1.327324	1	4294967295
7583.383882697	0.000000000	1.238	-1.387	-0.376	0.173	1.383517	1	4294967295
7583.683877905	0.000000000	1.260	-1.387	-0.341	0.159	1.418694	1	4294967295
7583.983760477	0.000000000	1.278	-1.401	-0.310	0.142	1.402719	1	4294967295
7584.283512541	0.000000000	1.320	-1.414	-0.275	0.127	1.478468	1	4294967295
7584.583054524	0.000000000	1.342	-1.456	-0.247	0.105	1.515173	1	4294967295
7584.882578867	0.000000000	1.436	-1.524	-0.203	0.078	1.851621	1	4294967295
7585.182158652	0.000000000	1.556	-1.655	-0.154	0.036	2.063880	1	4294967295
7585.481539830	0.000000000	1.702	-1.763	-0.102	0.004	2.133386	1	4294967295
7585.780882001	0.000000000	1.844	-1.991	-0.053	-0.057	2.444446	1	4294967295
7586.080575178	0.000000000	1.995	-2.234	-0.005	-0.118	2.471330	1	4294967295
7586.380214152	0.000000000	2.075	-2.455	0.020	-0.167	2.134656	1	4294967295
7586.680145852	0.000000000	2.173	-2.664	0.047	-0.209	1.952317	1	4294967295
7586.980220631	0.000000000	2.220	-2.865	0.057	-0.245	1.546480	1	4294967295
7587.280067835	0.000000000	2.247	-3.075	0.060	-0.280	1.383950	1	4294967295
7587.580235795	0.000000000	2.263	-3.273	0.059	-0.309	1.217824	1	4294967295
7587.880521357	0.000000000	2.262	-3.447	0.053	-0.330	1.010314	1	4294967295
7588.180841981	0.000000000	2.203	-3.597	0.032	-0.341	1.183470	1	4294967295
7588.481301476	0.000000000	2.078	-3.706	-0.006	-0.340	1.402054	1	4294967295
7588.781636217	0.000000000	1.935	-3.812	-0.045	-0.338	1.587300	1	4294967295
7589.082413596	0.000000000	1.745	-3.869	-0.093	-0.324	1.696526	1	4294967295
7589.382731588	0.000000000	1.570	-3.846	-0.133	-0.289	1.704859	1	4294967295
7589.682956535	0.000000000	1.384	-3.803	-0.173	-0.252	1.823937	1	4294967295
7589.983091594	0.000000000	1.213	-3.771	-0.207	-0.219	1.690383	1	4294967295
7590.283083613	0.000000000	1.101	-3.711	-0.223	-0.182	1.622775	1	4294967295
7590.583088188	0.000000000	1.079	-3.541	-0.210	-0.125	3.922232	1	4294967295
7590.882981834	0.000000000	0.989	-3.425	-0.220	-0.081	1.634442	1	4294967295
7591.183201699	0.000000000	0.921	-3.294	-0.224	-0.036	1.647435	1	4294967295
7591.482963730	0.000000000	0.884	-3.150	-0.219	0.008	1.730115	1	4294967295
7591.783015291	0.000000000	0.898	-2.980	-0.202	0.055	1.748110	1	4294967295
7592.083224978	0.000000000	0.976	-2.793	-0.169	0.098	1.691595	1	4294967295
7592.398289044	0.000000000	1.098	-2.534	-0.129	0.159	2.263856	1	4294967295
7592.698494712	0.000000000	1.244	-2.264	-0.086	0.218	2.332910	1	4294967295
7592.998719417	0.000000000	1.363	-2.035	-0.054	0.263	2.077897	1	4294967295
7593.298925314	0.000000000	1.512	-1.771	-0.017	0.313	2.328468	1	4294967295
7593.585237074	0.000000000	1.630	-1.485	0.009	0.366	2.304551	1	4294967295
7593.886040591	0.000000000	1.787	-1.180	0.044	0.418	2.283645	1	4294967295
7594.187034558	0.000000000	1.984	-0.803	0.085	0.481	2.308456	1	4294967295
7594.487788402	0.000000000	2.114	-0.476	0.108	0.529	1.941906	1	4294967295
7594.788192264	0.000000000	2.118	-0.129	0.098	0.582	1.997750	1	4294967295
7595.089038655	0.000000000	2.068	0.208	0.076	0.628	1.866094	1	4294967295
7595.394419723	0.000000000	1.961	0.478	0.042	0.655	1.774725	1	4294967295
7595.693900357	0.000000000	1.902	0.631	0.023	0.646	1.068196	1	4294967295
7595.993135895	0.000000000	1.798	0.750	-0.005	0.630	1.389607	1	4294967295
7596.292815032	0.000000000	1.672	0.839	-0.037	0.607	1.584632	1	4294967295
7596.592657578	0.000000000	1.536	0.902	-0.069	0.579	1.701462	1	4294967295
7596.892546060	0.000000000	1.390	0.941	-0.102	0.547	1.756916	1	4294967295
7597.186448956	0.000000000	1.291	0.719	-0.125	0.457	2.385086	1	4294967295
7597.485967178	0.000000000	1.182	0.478	-0.147	0.367	2.292673	1	4294967295
7597.786196812	0.000000000	1.091	0.263	-0.161	0.289	2.124331	1	4294967295
7598.086161006	0.000000000	0.978	0.076	-0.180	0.222	2.034089	1	4294967295
7598.386885470	0.000000000	0.826	-0.065	-0.207	0.171	1.828386	1	4294967295
7598.686464207	0.000000000	0.670	-0.180	-0.233	0.129	1.672517	1	4294967295
7598.987064897	0.000000000	0.553	-0.305	-0.246	0.087	2.579711	1	4294967295
7599.287226045	0.000000000	0.367	-0.459	-0.277	0.040	1.933802	1	4294967295
7599.585872498	0.000000000	0.230	-0.640	-0.293	-0.011	1.824131	1	4294967295
7599.885261411	0.000000000	0.162	-0.782	-0.291	-0.047	1.636928	1	4294967295
7600.184502697	0.000000000	0.132	-1.000	-0.278	-0.101	1.926564	1	4294967295
7600.483799401	0.000000000	0.131	-1.189	-0.257	-0.143	1.825175	1	4294967295
7600.783223299	0.000000000	0.155	-1.453	-0.229	-0.203	2.137926	1	4294967295
7601.082954002	0.000000000	0.215	-1.717	-0.193	-0.259	2.097024	1	4294967295
7601.382694510	0.000000000	0.255	-2.013	-0.163	-0.320	2.052994	1	4294967295
7601.682572445	0.000000000	0.295	-2.273	-0.137	-0.366	1.675779	1	4294967295
7601.982667580	0.000000000	0.322	-2.489	-0.118	-0.396	1.294800	1	4294967295
7602.282399978	0.000000000	0.328	-2.685	-0.107	-0.417	1.058643	1	4294967295
