timeref	est_sendtime	pos_x	pos_y	vel_x	vel_y	sigma	valid	senderGuid
8557.130761438	0.000000000	4.383	-3.733	0.001	-0.001	9.098496	1	4294967295
8557.416630498	0.000000000	1.887	-1.535	0.000	-0.000	3.442031	1	4294967295
8557.716534275	0.000000000	2.447	-2.055	0.000	-0.001	2.739669	1	4294967295
8558.016396882	0.000000000	2.558	-2.150	0.001	-0.002	2.682341	1	4294967295
8558.316299731	0.000000000	2.659	-2.209	0.005	-0.005	2.610574	1	4294967295
8558.616481649	0.000000000	2.729	-2.241	0.013	-0.009	2.548419	1	4294967295
8558.916656257	0.000000000	2.753	-2.238	0.013	-0.007	2.628059	1	4294967295
8559.216670064	0.000000000	2.766	-2.235	0.012	-0.004	2.639006	1	4294967295
8559.532158539	0.000000000	2.757	-2.271	0.003	-0.006	2.642606	1	4294967295
8559.832002064	0.000000000	2.736	-2.272	-0.009	0.001	2.766568	1	4294967295
8560.131963333	0.000000000	2.734	-2.318	-0.011	-0.009	2.556867	1	4294967295
8560.431932202	0.000000000	2.724	-2.295	-0.020	0.003	2.754379	1	4294967295
8560.716739485	0.000000000	2.691	-2.250	-0.029	0.016	2.780981	1	4294967295
8561.016566467	0.000000000	2.713	-2.269	-0.020	0.009	2.513012	1	4294967295
8561.316500259	0.000000000	2.710	-2.234	-0.022	0.020	2.709863	1	4294967295
8561.616498953	0.000000000	2.724	-2.280	-0.013	0.003	2.475428	1	4294967295
8561.916430265	0.000000000	2.664	-2.258	-0.033	0.012	0.851653	1	4294967295
8562.216466853	0.000000000	2.598	-2.224	-0.051	0.022	0.824638	1	4294967295
8562.516384560	0.000000000	2.532	-2.181	-0.068	0.034	0.677177	1	4294967295
8562.816340552	0.000000000	2.485	-2.145	-0.077	0.042	0.553288	1	4294967295
8563.116451995	0.000000000	2.409	-2.070	-0.095	0.061	0.687702	1	4294967295
8563.431536646	0.000000000	2.341	-2.024	-0.107	0.069	0.502555	1	4294967295
8563.731343177	0.000000000	2.302	-1.982	-0.111	0.076	0.398659	1	4294967295
8564.031585256	0.000000000	2.345	-2.068	-0.089	0.048	2.648432	1	4294967295
8564.331311108	0.000000000	2.355	-2.165	-0.078	0.020	2.586606	1	4294967295
8564.616066782	0.000000000	2.369	-2.238	-0.068	0.001	2.560896	1	4294967295
8564.915915420	0.000000000	2.390	-2.228	-0.060	0.004	2.669884	1	4294967295
8565.231381028	0.000000000	2.377	-2.326	-0.057	-0.021	2.468018	1	4294967295
8565.531656279	0.000000000	2.391	-2.359	-0.049	-0.027	2.549065	1	4294967295
8565.831651692	0.000000000	2.362	-2.274	-0.057	-0.002	0.847068	1	4294967295
8566.114790232	0.000000000	2.382	-2.361	-0.048	-0.023	2.506210	1	4294967295
8566.414669369	0.000000000	2.385	-2.309	-0.048	-0.007	0.761345	1	4294967295
8566.714297845	0.000000000	2.394	-2.299	-0.046	-0.002	0.626778	1	4294967295
8567.013950501	0.000000000	2.480	-2.211	-0.020	0.019	2.328967	1	4294967295
8567.313631302	0.000000000	2.561	-2.144	0.002	0.033	2.281673	1	4294967295
8567.613170125	0.000000000	2.639	-2.108	0.021	0.039	2.154161	1	4294967295
8567.912793920	0.000000000	2.663	-2.170	0.022	0.023	1.008370	1	4294967295
8568.212530041	0.000000000	2.705	-2.219	0.028	0.010	0.973433	1	4294967295
8568.512069324	0.000000000	2.726	-2.317	0.028	-0.013	1.151014	1	4294967295
8568.811824986	0.000000000	2.722	-2.439	0.021	-0.040	1.275581	1	4294967295
8569.111592488	0.000000000	2.757	-2.574	0.025	-0.070	1.265836	1	4294967295
8569.411154525	0.000000000	2.801	-2.692	0.032	-0.093	1.256229	1	4294967295
8569.710893604	0.000000000	2.846	-2.791	0.037	-0.109	1.200413	1	4294967295
8570.010551363	0.000000000	2.888	-2.925	0.042	-0.134	1.270291	1	4294967295
8570.310342695	0.000000000	2.935	-3.048	0.048	-0.154	1.212559	1	4294967295
8570.610128056	0.000000000	2.996	-3.193	0.058	-0.178	1.232924	1	4294967295
8570.909833915	0.000000000	3.048	-3.316	0.064	-0.194	1.197618	1	4294967295
8571.209578006	0.000000000	3.097	-3.453	0.068	-0.213	1.210522	1	4294967295
8571.509290838	0.000000000	3.123	-3.585	0.066	-0.228	1.228538	1	4294967295
8571.808897819	0.000000000	3.152	-3.714	0.065	-0.241	1.264617	1	4294967295
8572.108659939	0.000000000	3.200	-3.859	0.068	-0.258	1.300613	1	4294967295
8572.408409442	0.000000000	3.236	-3.977	0.068	-0.266	1.300547	1	4294967295
8572.708137978	0.000000000	3.260	-4.080	0.064	-0.269	1.380286	1	4294967295
8573.307881832	0.000000000	3.271	-4.213	0.051	-0.257	1.550748	1	4294967295
8573.607979942	0.000000000	3.265	-4.281	0.040	-0.251	1.429885	1	4294967295
8573.908056217	0.000000000	3.271	-4.343	0.033	-0.243	1.358744	1	4294967295
8574.208243552	0.000000000	3.245	-4.386	0.019	-0.231	1.341740	1	4294967295
8574.508437477	0.000000000	3.193	-4.432	-0.002	-0.221	1.338571	1	4294967295
