timeref	est_sendtime	pos_x	pos_y	vel_x	vel_y	sigma	valid	senderGuid
6918.629014957	0.000000000	1.992	-3.046	0.001	-0.001	3.552200	1	4294967295
6918.928957659	0.000000000	1.850	-2.219	0.001	0.000	1.237572	1	4294967295
6919.228931809	0.000000000	2.039	-2.462	0.002	-0.001	2.732818	1	4294967295
6919.528916210	0.000000000	2.122	-2.557	0.004	-0.003	2.663616	1	4294967295
6919.828795773	0.000000000	2.172	-2.610	0.006	-0.006	2.645281	1	4294967295
6920.128800650	0.000000000	2.221	-2.637	0.009	-0.007	2.618029	1	4294967295
6920.428793051	0.000000000	2.260	-2.656	0.013	-0.009	2.608034	1	4294967295
6920.728785067	0.000000000	2.314	-2.677	0.022	-0.013	2.540524	1	4294967295
6921.028686149	0.000000000	2.339	-2.692	0.025	-0.015	2.591097	1	4294967295
6921.328778498	0.000000000	2.362	-2.695	0.027	-0.014	2.600813	1	4294967295
6921.628746822	0.000000000	2.400	-2.762	0.035	-0.030	2.302363	1	4294967295
6921.928783958	0.000000000	2.400	-2.809	0.032	-0.040	2.385547	1	4294967295
6922.228739901	0.000000000	2.398	-2.857	0.029	-0.049	2.379145	1	4294967295
6922.528696802	0.000000000	2.396	-2.900	0.025	-0.056	2.376954	1	4294967295
6922.828664750	0.000000000	2.452	-2.784	0.044	-0.024	3.717660	1	4294967295
6923.128630486	0.000000000	2.479	-2.700	0.053	-0.002	3.594816	1	4294967295
6923.428575115	0.000000000	2.449	-2.707	0.038	-0.003	2.585255	1	4294967295
6923.728552366	0.000000000	2.362	-2.660	0.005	0.015	1.602396	1	4294967295
6924.028593395	0.000000000	2.338	-2.672	-0.003	0.011	2.554649	1	4294967295
6924.328738680	0.000000000	2.420	-2.501	0.025	0.054	2.799021	1	4294967295
6924.628684162	0.000000000	2.532	-2.317	0.058	0.097	2.696605	1	4294967295
6924.928686778	0.000000000	2.776	-2.237	0.126	0.106	3.204203	1	4294967295
6925.228694833	0.000000000	2.790	-2.225	0.119	0.101	2.553966	1	4294967295
6925.528796575	0.000000000	2.745	-2.273	0.097	0.082	2.539510	1	4294967295
6925.842124885	0.000000000	2.816	-2.169	0.110	0.100	2.451513	1	4294967295
6926.128839047	0.000000000	2.755	-2.123	0.083	0.107	2.734117	1	4294967295
6926.428775518	0.000000000	2.635	-2.132	0.044	0.100	2.800545	1	4294967295
6926.728774182	0.000000000	2.618	-2.144	0.036	0.090	2.440482	1	4294967295
6927.028724783	0.000000000	2.509	-2.125	0.003	0.093	2.883122	1	4294967295
6927.328717490	0.000000000	2.428	-2.111	-0.020	0.093	2.845879	1	4294967295
6927.628675692	0.000000000	2.395	-2.124	-0.029	0.086	2.694006	1	4294967295
6927.928583159	0.000000000	2.328	-2.192	-0.043	0.063	2.522560	1	4294967295
6928.228546100	0.000000000	2.300	-2.218	-0.048	0.054	2.620949	1	4294967295
6928.528528237	0.000000000	2.299	-2.250	-0.046	0.043	2.571336	1	4294967295
6928.828522048	0.000000000	2.279	-2.274	-0.049	0.035	2.611899	1	4294967295
6929.128513860	0.000000000	2.244	-2.353	-0.051	0.013	2.383418	1	4294967295
6929.428486833	0.000000000	2.191	-2.359	-0.062	0.011	2.635395	1	4294967295
6929.728444887	0.000000000	2.187	-2.313	-0.062	0.023	2.778631	1	4294967295
6930.028421646	0.000000000	2.188	-2.274	-0.061	0.032	2.769610	1	4294967295
6930.328403285	0.000000000	2.206	-2.267	-0.053	0.032	2.652998	1	4294967295
6930.628385214	0.000000000	2.190	-2.325	-0.051	0.014	2.405549	1	4294967295
6930.928381209	0.000000000	2.170	-2.332	-0.052	0.012	2.576551	1	4294967295
6931.228364713	0.000000000	2.145	-2.342	-0.054	0.009	2.575174	1	4294967295
