timeref	est_sendtime	pos_x	pos_y	vel_x	vel_y	sigma	valid	senderGuid	receiver_unix_time
5442.744068000	5442.661070135	3.294	11.477	0.002	0.007	0.948806	1	4294967295	1508337640
5443.644288000	5443.561111483	18.642	19.736	0.013	0.016	0.272995	1	4294967295	1508337641
5443.944332000	5443.861087054	15.953	19.828	0.006	0.011	0.404164	1	4294967295	1508337641
5444.243884000	5444.161071316	16.063	19.415	0.002	-0.000	0.350317	1	4294967295	1508337642
5444.542019000	5444.461066553	15.484	19.594	-0.008	-0.007	0.429553	1	4294967295	1508337642
5444.842278000	5444.761063127	15.213	19.680	-0.016	-0.012	0.341944	1	4294967295	1508337642
5445.141860000	5445.061059394	15.010	19.743	-0.025	-0.019	0.345471	1	4294967295	1508337643
5445.442021000	5445.361056605	14.863	19.791	-0.033	-0.025	0.304726	1	4294967295	1508337643
5445.741764000	5445.661053852	14.729	19.833	-0.041	-0.031	0.301801	1	4294967295	1508337643
5446.030428000	5445.961075713	14.333	20.273	-0.032	0.004	0.570589	1	4294967295	1508337643
5446.330411000	5446.261091939	13.977	20.637	-0.031	0.030	0.554352	1	4294967295	1508337644
5446.630483000	5446.561101186	13.610	20.942	-0.043	0.041	0.504661	1	4294967295	1508337644
5446.930440000	5446.861110687	13.324	21.192	-0.052	0.054	0.564514	1	4294967295	1508337644
5447.230371000	5447.161139895	12.698	21.823	-0.061	0.106	0.561219	1	4294967295	1508337645
5448.430358000	5448.361144365	12.305	22.013	-0.103	0.083	0.291065	1	4294967295	1508337646
5449.030301000	5448.961195802	11.585	22.695	-0.142	0.152	0.531174	1	4294967295	1508337646
5449.330241000	5449.261236098	10.823	23.285	-0.201	0.200	0.218941	1	4294967295	1508337647
5449.630187000	5449.561288369	10.272	23.866	-0.229	0.272	0.527557	1	4294967295	1508337647
5449.930189000	5449.861302935	9.492	24.273	-0.311	0.278	0.185704	1	4294967295	1508337647
5450.230179000	5450.161329599	8.945	24.704	-0.353	0.321	0.358013	1	4294967295	1508337648
5450.541455000	5450.461320762	8.643	24.642	-0.393	0.259	0.488077	1	4294967295	1508337648
5450.830111000	5450.761341100	7.835	24.970	-0.479	0.258	0.170203	1	4294967295	1508337648
5451.130067000	5451.061363364	7.053	25.252	-0.559	0.253	0.166577	1	4294967295	1508337649
5451.430040000	5451.361387105	6.300	25.488	-0.634	0.244	0.168448	1	4294967295	1508337649
5451.729977000	5451.661411652	5.578	25.681	-0.702	0.230	0.172290	1	4294967295	1508337649
5452.030020000	5451.961423788	5.604	25.366	-0.678	0.139	0.537733	1	4294967295	1508337649
5452.329979000	5452.261442014	5.404	25.198	-0.680	0.077	0.491901	1	4294967295	1508337650
5452.929912000	5452.861468480	4.934	25.081	-0.686	0.024	0.479781	1	4294967295	1508337650
5453.229887000	5453.161454942	5.237	24.810	-0.619	-0.026	0.389361	1	4294967295	1508337651
5453.543253000	5453.461438823	5.598	24.422	-0.543	-0.110	0.388219	1	4294967295	1508337651
5453.829902000	5453.761450631	5.349	24.272	-0.550	-0.152	0.247146	1	4294967295	1508337651
5454.129894000	5454.061456226	5.290	24.192	-0.536	-0.156	0.266408	1	4294967295	1508337652
5454.429881000	5454.361461531	5.237	24.132	-0.522	-0.153	0.245632	1	4294967295	1508337652
5454.729875000	5454.661474825	4.923	24.146	-0.544	-0.141	0.436105	1	4294967295	1508337652
5455.043156000	5454.961472345	5.121	24.004	-0.496	-0.155	0.279396	1	4294967295	1508337652
5455.329835000	5455.261475755	5.009	24.090	-0.496	-0.110	0.171052	1	4294967295	1508337653
5455.629819000	5455.561482057	4.783	24.169	-0.509	-0.076	0.242786	1	4294967295	1508337653
5455.929787000	5455.861489236	4.529	24.253	-0.525	-0.046	0.242444	1	4294967295	1508337653
