timeref	est_sendtime	pos_x	pos_y	vel_x	vel_y	sigma	valid	senderGuid	receiver_unix_time
6491.458755000	6491.460240693	9.478	-5.494	0.037	-0.035	0.748225	1	4294967295	1508338689
6491.758730000	6491.760083774	0.316	2.670	-0.007	0.007	0.540869	1	4294967295	1508338689
6492.073591000	6492.059507674	-0.583	0.637	-0.027	-0.019	0.630689	1	4294967295	1508338690
6492.373666000	6492.359376485	-0.846	0.013	-0.038	-0.035	0.385307	1	4294967295	1508338690
6492.673942000	6492.659303550	-1.031	-0.340	-0.049	-0.050	0.275943	1	4294967295	1508338690
6492.973907000	6492.958660523	-1.539	0.425	-0.091	-0.013	0.409889	1	4294967295	1508338690
6493.273755000	6493.258039525	-1.732	0.740	-0.122	0.005	0.394547	1	4294967295	1508338691
6493.573663000	6493.557504802	-1.827	0.958	-0.148	0.021	0.299462	1	4294967295	1508338691
6493.873667000	6493.857017101	-1.882	1.113	-0.171	0.034	0.267374	1	4294967295	1508338691
6494.173699000	6494.156573276	-1.918	1.234	-0.192	0.045	0.254006	1	4294967295	1508338692
6494.473584000	6494.456167935	-1.942	1.332	-0.211	0.054	0.251198	1	4294967295	1508338692
6494.773457000	6494.755384650	-1.479	1.225	-0.164	0.013	0.311796	1	4294967295	1508338692
6495.073666000	6495.054817941	-1.099	1.125	-0.116	-0.024	0.319770	1	4294967295	1508338692
6495.673294000	6495.654350063	-0.825	1.016	-0.073	-0.064	0.278293	1	4294967295	1508338693
6496.273227000	6496.253840982	-0.737	0.976	-0.074	-0.079	0.254635	1	4294967295	1508338694
6496.573455000	6496.553566855	-0.558	0.836	-0.042	-0.121	0.240698	1	4294967295	1508338694
6496.873223000	6496.853170851	-0.353	0.819	-0.011	-0.128	0.178557	1	4294967295	1508338694
6497.173118000	6497.152741112	-0.315	0.873	-0.025	-0.115	0.131967	1	4294967295	1508338695
6497.473052000	6497.452356970	-0.265	0.927	-0.032	-0.102	0.112005	1	4294967295	1508338695
6497.769782000	6497.752072869	-0.077	1.014	0.001	-0.079	0.291598	1	4294967295	1508338695
6498.058372000	6498.051326895	0.368	1.307	0.068	-0.018	0.253868	1	4294967295	1508338696
6498.358339000	6498.350799043	0.737	1.439	0.127	-0.000	0.204259	1	4294967295	1508338696
6498.658290000	6498.650309294	0.891	1.573	0.130	0.020	0.153314	1	4294967295	1508338696
6498.958250000	6498.949955673	0.930	1.780	0.111	0.063	0.133185	1	4294967295	1508338696
6499.258228000	6499.249575443	1.036	1.839	0.111	0.061	0.082303	1	4294967295	1508338697
6499.558194000	6499.549235381	1.124	1.888	0.109	0.058	0.067087	1	4294967295	1508338697
6499.858238000	6499.849040244	1.185	1.976	0.108	0.071	0.082448	1	4294967295	1508338697
6500.158246000	6500.148750258	1.249	2.006	0.103	0.063	0.064639	1	4294967295	1508338698
6500.458212000	6500.448501786	1.362	2.059	0.114	0.065	0.059050	1	4294967295	1508338698
6500.758168000	6500.748290798	1.470	2.044	0.125	0.049	0.091139	1	4294967295	1508338698
6501.058167000	6501.048062587	1.509	2.039	0.115	0.036	0.134657	1	4294967295	1508338699
6501.358109000	6501.347836525	1.493	2.029	0.091	0.023	0.153613	1	4294967295	1508338699
6501.658054000	6501.647626619	1.487	2.026	0.073	0.013	0.177318	1	4294967295	1508338699
6501.957996000	6501.947444345	1.531	2.043	0.073	0.011	0.206600	1	4294967295	1508338699
6502.273247000	6502.247378113	1.575	2.001	0.075	-0.003	0.217942	1	4294967295	1508338700
6502.558023000	6502.547192442	1.667	1.946	0.086	-0.023	0.202139	1	4294967295	1508338700
6502.857993000	6502.847055308	1.696	1.940	0.082	-0.027	0.216279	1	4294967295	1508338700
6503.158013000	6503.146883652	1.683	1.845	0.064	-0.057	0.041690	1	4294967295	1508338701
6503.457967000	6503.446733743	1.644	1.802	0.042	-0.071	0.051278	1	4294967295	1508338701
6503.757923000	6503.746657318	1.672	1.753	0.043	-0.081	0.066792	1	4294967295	1508338701
6504.057795000	6504.046562979	1.734	1.680	0.052	-0.097	0.048111	1	4294967295	1508338701
6504.373071000	6504.346593401	1.880	1.658	0.089	-0.091	0.456140	1	4294967295	1508338702
6504.657718000	6504.646486185	1.957	1.721	0.100	-0.071	0.242003	1	4294967295	1508338702
6504.957714000	6504.946393794	2.075	1.778	0.122	-0.052	0.242918	1	4294967295	1508338702
6505.257625000	6505.246270462	2.089	1.815	0.114	-0.044	0.141582	1	4294967295	1508338703
6505.557637000	6505.546147975	2.089	1.931	0.105	-0.016	0.149422	1	4294967295	1508338703
6505.857659000	6505.846020379	1.985	2.039	0.070	0.006	0.135756	1	4294967295	1508338703
6506.157655000	6506.145927689	2.001	2.132	0.067	0.025	0.198550	1	4294967295	1508338704
6506.457614000	6506.445851790	2.032	2.262	0.070	0.053	0.227043	1	4294967295	1508338704
6506.757673000	6506.745763221	2.089	2.347	0.078	0.068	0.203345	1	4294967295	1508338704
6507.057637000	6507.045678494	2.141	2.427	0.084	0.080	0.206589	1	4294967295	1508338704
6507.357531000	6507.345587645	2.185	2.458	0.087	0.079	0.187166	1	4294967295	1508338705
6507.657474000	6507.645501584	2.222	2.491	0.088	0.079	0.182374	1	4294967295	1508338705
6507.957348000	6507.945433402	2.242	2.547	0.085	0.085	0.205744	1	4294967295	1508338705
6508.257191000	6508.245358215	2.283	2.619	0.088	0.094	0.202956	1	4294967295	1508338706
6508.557061000	6508.545279576	2.230	2.652	0.065	0.093	0.106710	1	4294967295	1508338706
6508.856863000	6508.845202675	2.180	2.647	0.046	0.082	0.134896	1	4294967295	1508338706
6509.156726000	6509.145137468	2.208	2.648	0.048	0.075	0.262187	1	4294967295	1508338707
6509.473391000	6509.445069678	2.135	2.559	0.025	0.045	0.061910	1	4294967295	1508338707
6509.756471000	6509.745007902	2.080	2.542	0.007	0.036	0.031014	1	4294967295	1508338707
6510.056374000	6510.044934077	2.050	2.500	-0.002	0.021	0.052964	1	4294967295	1508338707
6510.356262000	6510.344880325	2.053	2.465	-0.002	0.009	0.037348	1	4294967295	1508338708
6510.656102000	6510.644826289	2.061	2.438	-0.001	-0.001	0.020839	1	4294967295	1508338708
6510.955992000	6510.944773444	2.072	2.414	0.001	-0.008	0.016321	1	4294967295	1508338708
6511.255822000	6511.244721555	2.089	2.401	0.004	-0.013	0.039626	1	4294967295	1508338709
6511.555664000	6511.544668831	2.109	2.392	0.007	-0.016	0.050377	1	4294967295	1508338709
6511.855520000	6511.844619849	2.134	2.393	0.012	-0.016	0.077391	1	4294967295	1508338709
6512.155361000	6512.144563179	2.158	2.394	0.016	-0.017	0.059947	1	4294967295	1508338710
6512.455403000	6512.444510819	2.181	2.399	0.019	-0.016	0.053277	1	4294967295	1508338710
6512.755273000	6512.744461337	2.210	2.407	0.024	-0.014	0.058821	1	4294967295	1508338710
6513.055099000	6513.044420899	2.240	2.440	0.028	-0.007	0.096970	1	4294967295	1508338710
6513.374894000	6513.344420117	2.248	2.448	0.028	-0.004	0.011692	1	4294967295	1508338711
6514.275375000	6514.244416938	2.311	2.450	0.037	-0.003	0.020873	1	4294967295	1508338712
6514.575564000	6514.544431000	2.349	2.477	0.044	0.004	0.044826	1	4294967295	1508338712
6514.875614000	6514.844424137	2.407	2.481	0.055	0.004	0.020204	1	4294967295	1508338712
6515.175865000	6515.144416984	2.459	2.497	0.063	0.008	0.048090	1	4294967295	1508338713
6516.073253000	6516.044411750	2.548	2.500	0.071	0.006	0.017969	1	4294967295	1508338713
6516.973521000	6516.944431138	2.688	2.535	0.089	0.013	0.008539	1	4294967295	1508338714
6517.253414000	6517.244339854	2.874	2.641	0.124	0.034	0.123725	1	4294967295	1508338715
6517.553264000	6517.544272056	3.037	2.766	0.152	0.058	0.077828	1	4294967295	1508338715
6517.853194000	6517.844214110	3.168	2.846	0.171	0.071	0.059357	1	4294967295	1508338715
6518.177291000	6518.144224251	3.249	2.896	0.179	0.078	0.034533	1	4294967295	1508338716
6518.477294000	6518.444231144	3.328	2.940	0.186	0.084	0.018433	1	4294967295	1508338716
6518.753022000	6518.744154137	3.457	2.944	0.202	0.076	0.032968	1	4294967295	1508338716
6519.052964000	6519.044093752	3.598	2.965	0.221	0.074	0.018256	1	4294967295	1508338716
6519.353008000	6519.344048287	3.723	2.966	0.235	0.067	0.031052	1	4294967295	1508338717
6519.652967000	6519.644009652	3.840	2.961	0.245	0.059	0.029604	1	4294967295	1508338717
6519.952956000	6519.943976564	3.940	2.927	0.250	0.044	0.044578	1	4294967295	1508338717
6520.252996000	6520.243945759	4.024	2.890	0.251	0.030	0.046326	1	4294967295	1508338718
6520.552999000	6520.543919565	4.071	2.879	0.242	0.023	0.016703	1	4294967295	1508338718
6520.853013000	6520.843895299	4.106	2.853	0.231	0.013	0.021950	1	4294967295	1508338718
6521.153056000	6521.143871466	4.129	2.823	0.218	0.002	0.023015	1	4294967295	1508338719
6521.453059000	6521.443854993	4.120	2.796	0.199	-0.006	0.030927	1	4294967295	1508338719
6521.753100000	6521.743840307	4.118	2.762	0.182	-0.016	0.034255	1	4294967295	1508338719
6522.053188000	6522.043852797	4.089	2.795	0.162	-0.007	0.088279	1	4294967295	1508338720
6522.375449000	6522.343851699	4.076	2.752	0.145	-0.019	0.050776	1	4294967295	1508338720
6522.653328000	6522.643844575	4.068	2.661	0.130	-0.041	0.049442	1	4294967295	1508338720
6522.953340000	6522.943801416	4.075	2.501	0.116	-0.080	0.040732	1	4294967295	1508338720
6523.253453000	6523.243760096	4.078	2.358	0.102	-0.112	0.037889	1	4294967295	1508338721
6523.574673000	6523.543719527	4.095	2.223	0.094	-0.139	0.051906	1	4294967295	1508338721
6523.870650000	6523.843695215	4.099	2.082	0.084	-0.164	0.038501	1	4294967295	1508338721
6524.173878000	6524.143673611	4.089	1.964	0.071	-0.183	0.028633	1	4294967295	1508338722
6524.473639000	6524.443652173	4.054	1.842	0.053	-0.201	0.023963	1	4294967295	1508338722
